Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
250,James Johnson,PF,36,IND,5,0,4.8,0.4,1,40.0%,0,0.2,0.0%,0.4,0.8,0.5,40.0%,0,0,0.0%,0.2,0.6,0.8,1,0.8,0,0.4,0.8,0.8,johnsja01
251,Keldon Johnson,SF,24,SAS,38,26,31.4,6,13.5,44.6%,1.9,5.4,34.8%,4.1,8.1,0.513,51.7%,2.9,3.8,78.3%,1.3,4.6,5.9,3.6,0.9,0.2,1.7,2.5,16.9,johnske04
252,Keon Johnson,SG,21,BRK,1,0,21,3,8,37.5%,2,4,50.0%,1,4,0.25,50.0%,4,4,100.0%,0,1,1,1,1,1,1,1,12,johnske07
253,Keyontae Johnson,SF,23,OKC,2,0,11.5,1,3,33.3%,0,0.5,0.0%,1,2.5,0.4,33.3%,0,0,0.0%,0.5,1,1.5,1,0,0,1,0.5,2,johnske08
254,Nikola Jokić,C,28,DEN,41,41,33.4,10,17.1,58.1%,1,2.9,34.5%,9,14.2,0.63,61.0%,4.6,5.6,81.8%,3,8.9,11.9,9.1,1.2,0.9,2.9,2.7,25.5,jokicni01
255,Colby Jones,SG,21,SAC,15,0,7.3,1.1,2.8,38.1%,0.1,0.9,7.7%,1,1.9,0.517,39.3%,0.1,0.2,66.7%,0.6,0.8,1.4,0.6,0.3,0.1,0.3,1,2.3,jonesco02
256,Damian Jones,C,28,CLE,16,0,5.7,0.6,1.3,50.0%,0.1,0.3,25.0%,0.6,1,0.563,52.5%,0.1,0.2,66.7%,0.3,0.8,1.1,0.3,0.1,0.2,0.3,0.6,1.4,jonesda03
257,Derrick Jones Jr.,SF,26,DAL,40,39,26,3.9,7.8,49.2%,1.5,4.1,35.6%,2.4,3.8,0.64,58.5%,1.4,1.9,74.7%,1.3,2.5,3.8,1,0.9,0.9,0.9,1.9,10.6,jonesde02
258,Herbert Jones,SF,25,NOP,39,39,28.9,3.7,7.8,48.2%,1.3,3.3,38.8%,2.5,4.5,0.552,56.4%,1.9,2.3,85.2%,1.1,2.5,3.6,2.5,1.2,1,1.2,2.8,10.7,joneshe01
259,Tre Jones,PG,24,SAS,36,7,24.7,3.6,7.4,49.2%,0.6,2.2,26.3%,3.1,5.2,0.591,53.2%,1.3,1.4,88.5%,0.6,2.4,3,5.3,0.8,0.1,1.5,1.3,9.1,jonestr01
260,Tyus Jones,PG,27,WAS,40,40,28.2,5.2,10.1,51.6%,1.6,3.8,41.2%,3.7,6.3,0.579,59.4%,0.5,0.7,73.1%,0.3,2.6,2.9,5.8,1.2,0.3,0.9,0.7,12.5,jonesty01
261,DeAndre Jordan,C,35,DEN,19,1,12.8,1.9,2.9,64.3%,0,0,0.0%,1.9,2.9,0.643,64.3%,1,2.2,45.2%,1.7,3.4,5.1,0.9,0.3,0.5,0.9,1.9,4.8,jordade01
262,Cory Joseph,PG,32,GSW,21,0,10.7,0.6,2.3,27.1%,0.3,1.5,19.4%,0.3,0.8,0.412,33.3%,0.2,0.3,57.1%,0.2,0.7,0.9,1.7,0.2,0.1,0.5,0.9,1.7,josepco01
263,Nikola Jović,PF,20,MIA,15,10,18.7,2.3,5.3,43.0%,1.2,2.7,43.9%,1.1,2.5,0.421,54.4%,0.7,1.3,57.9%,0.9,4,4.9,2.4,0.4,0.5,1.1,2.2,6.5,jovicni01
264,Johnny Juzang,SG,22,UTA,1,0,4,0,2,0.0%,0,2,0.0%,0,0,0,0.0%,0,0,0.0%,0,0,0,1,0,0,0,0,0,juzanjo01
265,Luke Kennard,SG,27,MEM,18,6,23.5,3.2,7.4,42.9%,2.4,5.7,42.2%,0.8,1.7,0.452,59.0%,0.9,0.9,100.0%,0.4,2.7,3.2,2.6,0.5,0.1,0.6,1.1,9.7,kennalu01
266,Walker Kessler,C,22,UTA,35,13,23.7,3.9,6,65.1%,0.1,0.5,25.0%,3.8,5.5,0.684,66.0%,0.7,1.4,49.0%,2.7,5,7.7,0.7,0.5,2.6,1,2.1,8.6,kesslwa01
267,Braxton Key,SF,26,DEN,13,0,3.4,0.4,1.1,35.7%,0.1,0.3,25.0%,0.3,0.8,0.4,39.3%,0.3,0.4,80.0%,0.2,0.6,0.8,0.6,0.2,0,0.1,0.3,1.2,keybr01
268,Corey Kispert,SF,24,WAS,39,1,21.8,4.1,8.4,49.1%,2,5.3,38.5%,2.1,3.1,0.669,61.2%,1.3,1.7,73.5%,0.4,1.8,2.2,1.5,0.3,0.2,1,1.6,11.5,kispeco01
269,Maxi Kleber,C,32,DAL,8,2,17.8,1,3.1,32.0%,0.6,2,31.3%,0.4,1.1,0.333,42.0%,1,1.5,66.7%,0.8,2.9,3.6,1.9,0.3,0.6,0.9,2.3,3.6,klebima01
270,Kevin Knox,SF,24,DET,23,7,19.4,3.2,6.6,48.7%,1.3,3.5,36.3%,2,3.1,0.625,58.2%,0.7,0.8,89.5%,0.7,1.8,2.4,0.8,0.4,0.3,0.7,1.5,8.4,knoxke01
271,John Konchar,SF,27,MEM,32,3,16.5,1.1,3,36.1%,0.6,2,30.2%,0.5,1.1,0.471,45.9%,0.3,0.3,81.8%,1,2.8,3.8,1.3,0.7,0.7,0.4,1,3.1,konchjo01
272,Furkan Korkmaz,SG,26,PHI,24,0,6.4,0.7,1.8,38.1%,0.3,0.9,28.6%,0.4,0.9,0.476,45.2%,0.3,0.4,70.0%,0,0.4,0.4,0.4,0.5,0,0.3,0.4,1.9,korkmfu01
273,Luke Kornet,C,28,BOS,28,2,14.8,2.1,3,68.2%,0,0,0.0%,2.1,3,0.682,68.2%,0.8,0.9,87.5%,1.8,1.9,3.6,0.9,0.4,1,0.4,1.3,4.9,kornelu01
274,Jonathan Kuminga,PF,21,GSW,39,15,23.1,5.1,9.9,51.3%,0.8,2.6,30.7%,4.3,7.3,0.586,55.3%,2.7,3.7,71.2%,1.2,3.1,4.3,1.5,0.6,0.3,1.4,2.2,13.6,kuminjo01
275,Kyle Kuzma,PF,28,WAS,40,40,31.3,8.6,18.9,45.6%,2.4,6.8,34.6%,6.3,12.1,0.518,51.8%,2.6,3.3,78.8%,1,5.2,6.3,4.2,0.5,0.6,2.7,2,22.2,kuzmaky01
276,Jock Landale,C,28,HOU,23,0,8.9,0.8,2.2,35.3%,0.1,0.7,11.8%,0.7,1.5,0.471,37.3%,0.3,0.4,80.0%,1,0.8,1.8,0.5,0.3,0.4,0.3,0.9,2,landajo01
277,Jake LaRavia,PF,22,MEM,11,0,11.1,1.5,3.9,37.2%,0.5,2.2,20.8%,1,1.7,0.579,43.0%,0.3,0.4,75.0%,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6,laravja01
278,Zach LaVine,SG,28,CHI,25,23,34.9,6.8,15,45.2%,2.4,6.8,34.9%,4.4,8.3,0.536,53.1%,3.5,4.1,85.4%,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,lavinza01
279,A.J. Lawson,SG,23,DAL,19,0,9.9,1.6,3.5,47.0%,0.6,1.7,33.3%,1.1,1.7,0.606,55.3%,0.6,0.8,73.3%,0.5,0.8,1.3,0.5,0.5,0.1,0.5,0.7,4.4,lawsoaj01
280,Saben Lee,PG,24,PHO,10,0,6.9,0.8,1.9,42.1%,0,0.4,0.0%,0.8,1.5,0.533,42.1%,1.3,1.7,76.5%,0.5,0.5,1,1.1,0.3,0.3,0.4,0.6,2.9,leesa01
281,Alex Len,C,30,SAC,17,0,8.8,1.1,1.7,62.1%,0,0.1,0.0%,1.1,1.6,0.667,62.1%,0.2,0.6,40.0%,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4,lenal01
282,Kawhi Leonard,SF,32,LAC,36,36,34.5,8.9,17,52.0%,2.3,5.2,44.1%,6.6,11.8,0.555,58.8%,3.8,4.3,87.7%,1,5.1,6.1,3.6,1.7,0.8,1.6,1.6,23.8,leonaka01
283,Caris LeVert,SG,29,CLE,31,1,28.8,5.7,13.6,42.3%,2,5.7,34.7%,3.8,7.9,0.478,49.5%,2.5,3.4,74.3%,0.5,3.1,3.5,4.1,1,0.4,1.5,1.6,16,leverca01
284,Kira Lewis Jr.,PG,22,NOP,15,0,9.6,1.1,3.5,30.8%,0.1,1.3,10.0%,0.9,2.1,0.438,32.7%,0.7,0.7,90.9%,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9,lewiski01
285,Maxwell Lewis,SF,21,LAL,12,0,4.4,0.1,0.8,11.1%,0.1,0.3,33.3%,0,0.5,0,16.7%,0,0,0.0%,0.1,0.2,0.3,0.3,0.2,0,0.4,0.2,0.3,lewisma05
286,E.J. Liddell,PF,23,NOP,6,0,2.8,0.2,0.8,20.0%,0,0.7,0.0%,0.2,0.2,1,20.0%,0.3,0.3,100.0%,0,0.5,0.5,0.2,0,0.3,0.3,0.3,0.7,liddeej01
287,Damian Lillard,PG,33,MIL,38,38,35.2,7.4,17.3,42.7%,3,8.5,35.2%,4.4,8.8,0.5,51.4%,7.2,7.8,91.9%,0.6,3.7,4.3,6.8,1.1,0.2,2.5,1.6,25,lillada01
288,Nassir Little,SF,23,PHO,24,2,15.2,1.9,3.8,48.9%,0.7,2.1,32.0%,1.2,1.8,0.69,57.6%,0.7,0.8,85.0%,0.6,1.9,2.5,0.7,0.4,0.3,0.5,1.3,5.1,littlna01
289,Dereck Lively II,C,19,DAL,31,30,25.4,4,5.5,73.5%,0,0.1,0.0%,4,5.4,0.744,73.5%,0.8,1.4,56.8%,2.9,4.9,7.8,1.3,0.6,1.4,1.2,3,8.9,livelde01
290,Isaiah Livers,PF,25,DET,23,6,20.4,1.7,5,34.5%,1,3.3,28.6%,0.8,1.7,0.462,44.0%,0.5,0.8,66.7%,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5,liveris01
291,Chris Livingston,SF,20,MIL,12,0,4.8,0.6,1,58.3%,0.1,0.1,100.0%,0.5,0.9,0.545,62.5%,0.2,0.2,100.0%,0.2,0.8,1,0.3,0.2,0,0.3,0.4,1.4,livinch01
292,Kenneth Lofton Jr.,PF,21,TOT,16,0,6.4,0.9,2.4,35.9%,0.2,0.6,30.0%,0.7,1.8,0.379,39.7%,0.5,0.9,53.3%,0.1,0.9,1.1,0.9,0.2,0.2,0.5,0.9,2.4,loftoke01
293,Kenneth Lofton Jr.,PF,21,MEM,15,0,6.6,0.9,2.5,37.8%,0.2,0.7,30.0%,0.7,1.8,0.407,41.9%,0.5,1,53.3%,0.1,0.9,1,0.9,0.2,0.2,0.4,1,2.6,loftoke01
294,Kenneth Lofton Jr.,PF,21,PHI,1,0,4,0,2,0.0%,0,0,0.0%,0,2,0,0.0%,0,0,0.0%,0,2,2,0,0,0,2,0,0,loftoke01
295,Kevon Looney,C,27,GSW,40,34,20.5,2.4,3.8,61.8%,0,0,0.0%,2.4,3.8,0.618,61.8%,1,1.4,70.4%,2.6,4.5,7.1,2.4,0.5,0.3,0.7,2.5,5.7,looneke01
296,Brook Lopez,C,35,MIL,41,41,31.3,4.8,10,48.5%,1.7,5,33.2%,3.2,5,0.64,56.9%,1.4,1.8,80.6%,1.4,3.8,5.2,1.5,0.6,2.9,0.9,2.7,12.7,lopezbr01
297,Robin Lopez,C,35,MIL,11,0,2.9,0.3,0.6,42.9%,0.2,0.5,40.0%,0.1,0.2,0.5,57.1%,0.2,0.2,100.0%,0.1,0.2,0.3,0.3,0,0.1,0.1,0.3,0.9,lopezro01
298,Kevin Love,PF,35,MIA,31,5,19.1,3.2,7.1,45.2%,1.7,4.8,34.9%,1.5,2.3,0.671,57.1%,2.1,2.6,78.0%,1.1,5.6,6.7,2.6,0.4,0.2,0.7,1.9,10.1,loveke01
299,Kyle Lowry,PG,37,MIA,35,35,28.2,2.9,6.5,44.1%,1.8,4.3,40.8%,1.1,2.2,0.506,57.6%,1,1.2,83.3%,0.7,2.9,3.5,4,1,0.4,1.5,2.6,8.5,lowryky01
300,Seth Lundy,SF,23,ATL,7,0,6.6,0.4,2,21.4%,0.3,1.6,18.2%,0.1,0.4,0.333,28.6%,0.4,0.6,75.0%,0.1,0.6,0.7,0,0,0,0.1,0.9,1.6,lundyse01
301,Trey Lyles,PF,28,SAC,27,0,20.4,2.3,5.3,44.4%,1.5,3.9,38.7%,0.8,1.3,0.611,58.8%,0.7,1.2,62.5%,0.9,3.9,4.8,1.3,0.1,0.3,0.6,1.6,6.9,lylestr01
302,Théo Maledon,PG,22,CHO,13,1,15.4,1.5,5.1,28.8%,0.4,2.3,16.7%,1.1,2.8,0.389,32.6%,0.8,0.9,91.7%,0.3,1.5,1.8,2.2,0.5,0,1.2,1.4,4.2,maledth01
303,Sandro Mamukelashvili,C,24,SAS,24,0,7.1,0.9,2.3,39.3%,0.3,1.3,25.8%,0.6,1,0.56,46.4%,0.5,0.7,75.0%,0.7,1.4,2,1,0.2,0.3,0.3,0.8,2.7,mamuksa01
304,Terance Mann,SG,27,LAC,34,30,25.1,2.7,6.3,43.3%,0.9,3.1,28.6%,1.9,3.2,0.573,50.2%,0.8,1,74.3%,1.2,2,3.2,1.8,0.6,0.3,0.6,1.9,7.1,mannte01
305,Tre Mann,PG,22,OKC,13,0,9.2,1.5,3.1,50.0%,0.6,1.5,42.1%,0.9,1.6,0.571,60.0%,0.1,0.1,100.0%,0.3,1.5,1.8,1.5,0.2,0,0.7,0.2,3.8,manntr01
306,Boban Marjanović,C,35,HOU,6,0,6.2,1.2,3,38.9%,0,0.3,0.0%,1.2,2.7,0.438,38.9%,0,0.3,0.0%,0.8,1.7,2.5,0.7,0,0.2,0,0.7,2.3,marjabo01
307,Lauri Markkanen,PF,26,UTA,33,33,32.5,8,16,49.8%,3.2,7.9,39.8%,4.8,8.1,0.596,59.7%,5,5.7,87.7%,2.4,6.5,8.8,1.9,0.9,0.6,1.1,1.8,24.1,markkla01
308,Naji Marshall,SF,26,NOP,33,1,18.7,2.8,6,46.0%,0.9,2.4,38.0%,1.8,3.6,0.513,53.5%,1.5,1.8,82.0%,1.1,2.6,3.7,2,0.7,0.2,1.1,1.5,7.9,marshna01
309,Caleb Martin,SF,28,MIA,24,10,26.6,4,9,44.4%,1.1,3.1,36.5%,2.9,5.9,0.486,50.7%,1.4,1.9,73.3%,1.1,3.6,4.8,2.3,0.8,0.3,1.3,2.1,10.5,martica02
310,Cody Martin,SF,28,CHO,9,4,25.8,2.8,7.7,36.2%,1.1,3.4,32.3%,1.7,4.2,0.395,43.5%,0.7,1.3,50.0%,1.2,1.7,2.9,2.3,1.6,0.7,1,1.6,7.3,martico01
311,KJ Martin,SF,23,TOT,26,0,6.8,0.8,1.7,46.5%,0,0.3,12.5%,0.7,1.3,0.543,47.7%,0.2,0.4,50.0%,0.2,0.5,0.8,0.5,0.4,0,0.2,1,1.8,martike04
312,KJ Martin,SF,23,LAC,2,0,15.5,2,5,40.0%,0.5,2.5,20.0%,1.5,2.5,0.6,45.0%,0.5,1,50.0%,0.5,1,1.5,0.5,1,0.5,1,1.5,5,martike04
313,KJ Martin,SF,23,PHI,24,0,6,0.7,1.4,48.5%,0,0.1,0.0%,0.7,1.3,0.533,48.5%,0.2,0.3,50.0%,0.2,0.5,0.7,0.5,0.3,0,0.2,0.9,1.5,martike04
314,Garrison Mathews,SG,27,ATL,26,3,12,1.1,2.3,47.5%,1,2.2,46.6%,0.1,0.1,0.667,69.7%,0,0.2,0.0%,0.3,0.9,1.2,0.4,0.3,0.1,0.4,1.5,3.3,mathega01
315,Bennedict Mathurin,SF,21,IND,41,14,25.8,5.2,11.1,47.0%,1.3,3.5,37.5%,3.9,7.6,0.514,53.0%,3,3.6,83.7%,1.1,2.6,3.7,2,0.6,0.2,1.6,2,14.8,mathube01
316,Wesley Matthews,SG,37,ATL,19,1,11.2,0.5,2.1,25.6%,0.3,1.6,20.0%,0.2,0.5,0.444,33.3%,0.7,1,73.7%,0.2,1.2,1.4,0.6,0.5,0.2,0.3,1.4,2.1,matthwe02
317,Tyrese Maxey,PG,23,PHI,38,38,37.6,8.9,19.8,45.1%,3.2,8.3,38.5%,5.7,11.5,0.498,53.1%,5,5.8,86.0%,0.6,3.1,3.7,6.7,1,0.6,1.6,2.2,26.1,maxeyty01
318,Skylar Mays,PG-SG,26,TOT,24,5,15.9,2.5,6.2,39.9%,0.7,2.1,31.4%,1.8,4,0.443,45.3%,0.5,0.7,76.5%,0.4,1.2,1.6,3.3,0.7,0.1,0.8,1,6.1,mayssk01
319,Skylar Mays,PG,26,POR,21,5,17,2.5,6.6,38.4%,0.7,2.3,28.6%,1.9,4.2,0.438,43.5%,0.6,0.8,76.5%,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1,6.3,mayssk01
320,Skylar Mays,SG,26,LAL,3,0,8.7,2,3.3,60.0%,0.7,0.7,100.0%,1.3,2.7,0.5,70.0%,0,0,0.0%,0.3,0.3,0.7,1.3,0.7,0,0,1,4.7,mayssk01
321,Miles McBride,PG,23,NYK,29,2,9.3,1.6,3.5,45.5%,0.9,2.1,43.5%,0.7,1.3,0.487,58.9%,0.3,0.3,80.0%,0.1,0.6,0.7,0.9,0.4,0.1,0.3,1,4.4,mcbrimi01
322,CJ McCollum,PG,32,NOP,28,28,32.1,7,15,46.9%,3.5,7.9,44.3%,3.5,7.1,0.497,58.6%,2.1,2.6,79.5%,0.6,3.7,4.3,5.1,1.3,0.8,1.5,2.1,19.6,mccolcj01
323,T.J. McConnell,PG,31,IND,33,2,16.9,3.6,6.7,53.8%,0,0.5,6.3%,3.6,6.2,0.576,54.1%,0.9,1.3,73.8%,0.5,2.2,2.7,5.5,1.1,0.1,1.4,1,8.2,mccontj01
324,Jaden McDaniels,SF,23,MIN,31,30,28.3,4.5,8.6,52.2%,1.2,3.2,37.8%,3.3,5.5,0.606,59.1%,0.7,0.9,77.8%,0.6,1.9,2.5,1.3,0.9,0.6,1.2,3.1,10.9,mcdanja02
325,Jalen McDaniels,SF,26,TOR,26,0,9.2,1.1,3.3,34.1%,0.3,1.6,19.0%,0.8,1.7,0.488,38.8%,0.5,0.8,70.0%,0.3,1,1.3,0.5,0.4,0.1,0.3,1,3.1,mcdanja01
326,Doug McDermott,SF,32,SAS,35,0,15.6,2.1,4.7,45.4%,1.7,3.7,45.8%,0.4,0.9,0.438,63.8%,0.3,0.4,66.7%,0.1,0.9,1,1.3,0.3,0.1,0.5,1.1,6.2,mcderdo01
327,JaVale McGee,C,36,SAC,32,0,8.1,1.9,3,63.2%,0,0.1,0.0%,1.9,2.9,0.645,63.2%,0.8,1.2,63.2%,1,2,3,0.4,0.2,0.6,1,1.1,4.5,mcgeeja01
328,Bryce McGowens,SG,21,CHO,32,10,17.6,1.8,4.2,44.0%,0.8,2.1,37.9%,1.1,2.1,0.5,53.4%,0.8,1.2,73.0%,0.4,1.5,1.8,1,0.3,0.1,0.6,1.5,5.3,mcgowbr01
329,Jordan McLaughlin,PG,27,MIN,20,0,8.3,0.8,2.1,39.0%,0.4,1.2,33.3%,0.4,0.9,0.471,48.8%,0.2,0.3,50.0%,0.2,0.7,0.9,1.7,0.7,0.2,0.3,0.4,2.2,mclaujo01
330,De'Anthony Melton,SG,25,PHI,33,33,29.1,3.9,9.9,39.3%,2.1,5.8,36.3%,1.8,4.1,0.437,50.0%,1.9,2.3,82.7%,0.8,3.2,4,3.2,1.6,0.5,1.2,2.4,11.8,meltode01
331,Nathan Mensah,C,25,CHO,14,0,13.8,0.6,1.5,42.9%,0,0,0.0%,0.6,1.5,0.429,42.9%,0.6,0.9,75.0%,1.3,2,3.3,0.3,0.3,0.6,0.7,2.9,1.9,mensana01
332,Sam Merrill,SG,27,CLE,24,0,15,2.6,6.2,41.6%,2.2,5.3,42.1%,0.4,1,0.391,59.4%,0.3,0.3,87.5%,0.5,1.6,2.1,1.5,0.3,0,0.3,1.2,7.7,merrisa01
333,Chimezie Metu,C,26,PHO,30,5,13.1,2.1,4,52.5%,0.5,1.7,30.0%,1.6,2.3,0.686,58.8%,1.1,1.3,87.2%,0.7,2.4,3.1,0.5,0.6,0.3,0.8,1.1,5.8,metuch01
334,Vasilije Micić,PG,30,OKC,21,0,12.2,1.4,3.2,42.6%,0.4,1.7,25.7%,1,1.6,0.606,49.3%,0.4,0.5,81.8%,0,0.7,0.8,2.7,0.4,0.1,0.7,1,3.6,micicva01
335,Khris Middleton,SF,32,MIL,35,35,25.3,5.5,11.4,48.4%,1.7,4.4,37.4%,3.9,7,0.553,55.6%,1.6,2,82.6%,0.6,3.6,4.2,5.1,0.8,0.3,2.2,2.2,14.3,middlkh01
336,Brandon Miller,SF,21,CHO,32,26,30.2,5.2,12.6,41.5%,2,5.3,37.6%,3.2,7.3,0.444,49.5%,1.5,1.9,80.0%,0.8,2.9,3.7,2.2,0.7,0.5,1.6,2.7,13.9,millebr02
337,Jordan Miller,SF,24,LAC,4,0,4,0.8,1.3,60.0%,0.3,0.3,100.0%,0.5,1,0.5,70.0%,0,0,0.0%,0.5,0.3,0.8,0,0,0,0.3,0.5,1.8,millejo02
338,Leonard Miller,SF,20,MIN,5,0,3.8,1.2,1.8,66.7%,0.2,0.6,33.3%,1,1.2,0.833,72.2%,0,0,0.0%,0,1.8,1.8,0.2,0.2,0.2,0.2,0.6,2.6,millele01
339,Dariq Whitehead,SF,19,BRK,2,0,12,0.5,2.5,20.0%,0,1.5,0.0%,0.5,1,0.5,20.0%,0.5,1,50.0%,0,2,2,1.5,0,0.5,0,0,1.5,whiteda01
340,Patty Mills,PG,35,ATL,9,0,9.8,0.7,1.9,35.3%,0.6,1.2,45.5%,0.1,0.7,0.167,50.0%,0,0,0.0%,0.2,0.7,0.9,0.6,0.2,0.1,0.3,1.2,1.9,millspa02
341,Shake Milton,SG,27,MIN,33,0,13.1,1.7,4.2,40.3%,0.4,1.5,26.5%,1.3,2.7,0.478,45.0%,1.1,1.3,81.8%,0.2,1.2,1.3,1.3,0.4,0.1,0.8,1.2,4.9,miltosh01
342,Justin Minaya,SF,24,POR,10,0,9.1,0.6,1.7,35.3%,0.3,1,30.0%,0.3,0.7,0.429,44.1%,0.3,0.6,50.0%,0.5,0.5,1,0.4,0.3,0.4,0.2,0.8,1.8,minayju01
343,Josh Minott,SF,21,MIN,15,0,3.1,0.5,1.2,44.4%,0,0.3,0.0%,0.5,0.9,0.615,44.4%,0.7,0.8,83.3%,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.4,1.7,minotjo01
344,Davion Mitchell,PG,25,SAC,31,3,12.1,1.3,3.6,36.6%,0.5,1.8,24.6%,0.9,1.8,0.491,42.9%,0.4,0.5,73.3%,0.1,0.8,0.9,1.7,0.2,0.1,0.5,1.1,3.5,mitchda01
345,Donovan Mitchell,SG,27,CLE,30,30,35.6,9.8,21,46.4%,3.2,9,35.6%,6.6,12,0.546,54.0%,5.4,6.2,87.6%,1.1,4.3,5.4,5.8,2,0.4,2.7,2.1,28.2,mitchdo01
346,Evan Mobley,PF,22,CLE,21,21,33.6,6.8,11.8,57.3%,0.1,0.5,20.0%,6.7,11.3,0.588,57.7%,2.4,3.1,76.9%,2.7,7.8,10.5,2.9,0.8,1.7,2.3,2.9,16,mobleev01
347,Isaiah Mobley,PF,24,CLE,3,0,4.7,0.7,1.3,50.0%,0.3,0.7,50.0%,0.3,0.7,0.5,62.5%,0,0,0.0%,0,0.7,0.7,1.3,0.3,0,0.3,0.7,1.7,mobleis01
348,Malik Monk,SG,25,SAC,40,0,26.1,5.1,11.8,43.3%,2.6,6.5,39.2%,2.6,5.3,0.484,54.1%,2.3,2.8,81.4%,0.4,2.3,2.7,5.5,0.6,0.7,2.1,1.9,15.1,monkma01
349,Moses Moody,SG,21,GSW,34,4,18,3.1,6.5,48.2%,1.1,3.1,35.8%,2,3.4,0.595,56.8%,1.3,1.7,78.9%,1.1,2,3.1,0.8,0.7,0.3,0.7,1.4,8.7,moodymo01
350,Xavier Moon,SG,29,LAC,2,0,6,0.5,1,50.0%,0,0.5,0.0%,0.5,0.5,1,50.0%,0,0,0.0%,0,1,1,1.5,0,0,0.5,0.5,1,moonxa01
351,Wendell Moore Jr.,SG,22,MIN,10,0,3,0.3,0.5,60.0%,0,0.2,0.0%,0.3,0.3,1,60.0%,0,0,0.0%,0,0.3,0.3,0.1,0.3,0.1,0.2,0.3,0.6,moorewe01
352,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,47.1%,1.6,5.7,27.5%,7.3,13.2,0.555,51.2%,5.8,7.1,81.3%,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1,25.1,moranja01
353,Marcus Morris,PF,34,PHI,31,5,16.1,2.2,4.9,45.1%,1,2.3,44.4%,1.2,2.6,0.457,55.6%,0.9,1,84.4%,0.5,2.3,2.8,0.7,0.4,0.3,0.4,1.8,6.4,morrima03
354,Markieff Morris,PF,34,DAL,16,1,9.4,0.9,2.9,31.9%,0.6,1.8,32.1%,0.4,1.2,0.316,41.5%,0.2,0.3,75.0%,0.3,1.5,1.8,0.7,0.3,0.1,0.6,0.7,2.6,morrima02
355,Trey Murphy III,SF,23,NOP,18,2,25.7,4.4,9.9,44.1%,2.7,6.9,39.2%,1.7,3,0.556,57.8%,2.1,2.6,80.9%,0.4,3.3,3.7,2.1,0.8,0.3,0.6,1.1,13.6,murphtr02
356,Dejounte Murray,SG,27,ATL,40,40,34.6,8.1,17.2,47.1%,2.3,6,38.3%,5.8,11.2,0.518,53.8%,2.5,3,82.5%,0.7,4.1,4.8,4.8,1.4,0.3,2.2,1.7,21,murrade01
357,Jamal Murray,PG,26,DEN,28,28,30.6,7.7,16.1,47.7%,2.3,5.6,41.0%,5.4,10.5,0.512,54.8%,2.9,3.3,87.9%,0.6,3.1,3.6,6.5,0.9,0.7,2,2.1,20.5,murraja01
358,Keegan Murray,SF,23,SAC,37,37,32.8,6.2,13.1,46.9%,2.4,6.5,37.2%,3.7,6.6,0.566,56.2%,1.4,1.8,80.0%,1.4,4.2,5.5,1.6,1.2,0.5,0.9,2.6,16.2,murrake02
359,Kris Murray,SF,23,POR,24,0,12.5,1.4,3.6,38.4%,0.6,1.8,31.8%,0.8,1.8,0.452,46.5%,0.3,0.5,72.7%,0.8,1.1,1.8,0.7,0.8,0.1,0.4,0.7,3.7,murrakr01
360,Mike Muscala,C,32,TOT,25,2,14.1,1.3,3.8,35.1%,0.6,2.2,25.9%,0.8,1.6,0.475,42.6%,0.6,0.8,75.0%,0.9,2.2,3.1,1,0.2,0.4,0.6,1.2,3.8,muscami01
361,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,36.7%,0.6,2.1,27.5%,0.8,1.6,0.487,44.4%,0.6,0.8,75.0%,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4,muscami01
362,Mike Muscala,C,32,DET,1,0,15,0,4,0.0%,0,3,0.0%,0,1,0,0.0%,0,0,0.0%,1,2,3,2,0,2,0,0,0,muscami01
363,Svi Mykhailiuk,SF,26,BOS,19,0,7.9,0.8,2.7,29.4%,0.5,2.1,25.0%,0.3,0.6,0.455,39.2%,0.2,0.3,50.0%,0.3,0.6,0.9,0.3,0.3,0,0.3,0.6,2.3,mykhasv01
364,Larry Nance Jr.,C,31,NOP,25,0,17.6,2.2,3.9,57.7%,0.5,1.1,46.4%,1.7,2.8,0.623,64.4%,0.8,1.1,77.8%,1.4,3.7,5.1,1.2,1.1,0.4,0.9,1.2,5.8,nancela02
365,Andrew Nembhard,PG,24,IND,28,11,20.5,3.4,7,48.2%,0.7,2.1,32.8%,2.7,5,0.547,53.0%,0.5,0.7,75.0%,0.6,1.1,1.8,4.1,0.9,0,1.9,2,8,nembhan01
