Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGpct,Threes,ThreesA,Threepct,Twos,TwosA,Twopct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
165,Usman Garuba,PF,21,GSW,2,0,3,0,0.5,0.0%,0,0,0.0%,0,0.5,0,0.0%,0,0,0.0%,0,0,0,0.5,0.5,0,0,0.5,0,garubus01
166,Luka Garza,C,25,MIN,8,0,2.8,0.6,2,31.3%,0,0.6,0.0%,0.6,1.4,0.455,31.3%,0.6,1,62.5%,0.5,0.5,1,0.3,0,0,0.3,0.9,1.9,garzalu01
167,Kaiser Gates,SF,27,NOP,1,0,7,0,4,0.0%,0,2,0.0%,0,2,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,gateska01
168,Keyonte George,PG,20,UTA,37,16,24.7,3.5,9.4,37.3%,1.7,5.3,32.8%,1.8,4.1,0.43,46.5%,2.4,2.9,80.6%,0.4,2.5,2.9,4.4,0.5,0.1,2.1,1,11.1,georgke01
169,Paul George,PF,33,LAC,38,38,34.8,8.4,17.9,46.8%,3.7,8.7,42.1%,4.7,9.2,0.513,57.0%,3.5,3.8,91.1%,0.6,4.9,5.5,3.7,1.6,0.3,2.1,2.9,23.9,georgpa01
170,Taj Gibson,PF,38,NYK,10,0,9.7,0.7,1.4,50.0%,0,0.4,0.0%,0.7,1,0.7,50.0%,0,0,0.0%,0.6,1.2,1.8,0.5,0.1,0.6,0.2,2,1.4,gibsota01
171,Josh Giddey,SG,21,OKC,40,40,25,4.9,10.7,45.7%,1,2.8,35.7%,3.9,7.9,0.492,50.3%,1.2,1.5,82.8%,1.4,4.9,6.2,4.7,0.8,0.5,2.2,1.3,12,giddejo01
172,Harry Giles,C,25,BRK,11,0,5.6,1.6,3.2,51.4%,0.1,0.6,14.3%,1.5,2.5,0.607,52.9%,0.5,1,54.5%,0.8,0.8,1.6,0.3,0.1,0.3,0.3,0.8,3.9,gilesha01
173,Shai Gilgeous-Alexander,PG,25,OKC,40,40,34.5,11.1,20,55.2%,1.1,3.5,32.4%,9.9,16.6,0.6,58.0%,7.8,8.8,89.1%,0.8,4.9,5.7,6.3,2.2,0.8,2,2.6,31,gilgesh01
174,Anthony Gill,PF,31,WAS,24,0,6.1,0.9,1.9,48.9%,0.1,0.5,18.2%,0.8,1.4,0.588,51.1%,0.5,0.7,75.0%,0.5,0.9,1.4,0.4,0.1,0.3,0.5,0.5,2.4,gillan01
175,Collin Gillespie,PG,24,DEN,14,0,6.9,0.8,1.7,45.8%,0.3,0.9,30.8%,0.5,0.8,0.636,54.2%,0.3,0.4,80.0%,0.1,0.3,0.4,0.6,0.4,0,0.4,0.9,2.1,gilleco01
176,Jacob Gilyard,PG,25,MEM,24,9,16.5,1.3,3.4,39.5%,1.1,2.8,40.9%,0.2,0.6,0.333,56.2%,0,0,100.0%,0.3,0.8,1.1,3.3,0.6,0.1,0.6,1,3.8,gilyaja01
177,Rudy Gobert,C,31,MIN,40,40,32.8,5.1,8,63.5%,0,0.1,0.0%,5.1,7.9,0.639,63.5%,3.3,5.2,62.8%,3.5,8.9,12.4,1.2,0.7,2.2,1.7,2.9,13.4,goberru01
178,Jordan Goodwin,PG,25,PHO,34,0,15.8,2,5.3,37.0%,0.7,2.3,29.1%,1.3,3,0.431,43.4%,0.7,0.8,85.2%,1.1,2.3,3.4,2.2,0.6,0.2,0.8,1.2,5.3,goodwjo01
179,Aaron Gordon,PF,28,DEN,36,36,31.9,5.7,10.2,55.4%,0.6,1.9,29.9%,5.1,8.4,0.611,58.2%,2.2,3.5,62.2%,2.7,3.9,6.6,3.2,0.8,0.5,1.4,1.8,14.1,gordoaa01
